Date,FacilityId,Certification,Automation_Level,Capacity,Production,Capacity_Utilization,Automation_Factor,Employee_Count
2022-05-01,FAC001,ISO 9001,Medium,143253,119247,0.8324,1.1,3330
2022-06-01,FAC001,ISO 9001,Medium,143253,118356,0.8262,1.1,3210
2022-07-01,FAC001,ISO 9001,Medium,143253,106592,0.7441,1.1,3080
2022-08-01,FAC001,ISO 9001,Medium,143253,71626,0.5,1.1,2130
2022-09-01,FAC001,ISO 9001,Medium,143253,134108,0.9362,1.1,3830
2022-10-01,FAC001,ISO 9001,Medium,143253,122864,0.8577,1.1,3450
2022-11-01,FAC001,ISO 9001,Medium,143253,120723,0.8427,1.1,3510
2022-12-01,FAC001,ISO 9001,Medium,143253,105838,0.7388,1.1,3010
2023-01-01,FAC001,ISO 9001,Medium,143253,115368,0.8053,1.1,3390
2023-02-01,FAC001,ISO 9001,Medium,143253,141618,0.9886,1.1,3860
2023-03-01,FAC001,ISO 9001,Medium,143253,93925,0.6557,1.1,2710
2023-04-01,FAC001,ISO 9001,Medium,143253,123367,0.8612,1.1,3640
2023-05-01,FAC001,ISO 9001,Medium,143253,127256,0.8883,1.1,3960
2023-06-01,FAC001,ISO 9001,Medium,143253,126266,0.8814,1.1,3750
2023-07-01,FAC001,ISO 9001,Medium,143253,71626,0.5,1.1,1900
2023-08-01,FAC001,ISO 9001,Medium,143253,126122,0.8804,1.1,3110
2023-09-01,FAC001,ISO 9001,Medium,143253,127292,0.8886,1.1,3570
2023-10-01,FAC001,ISO 9001,Medium,143253,123038,0.8589,1.1,3360
2023-11-01,FAC001,ISO 9001,Medium,143253,117119,0.8176,1.1,3290
2023-12-01,FAC001,ISO 9001,Medium,143253,108596,0.7581,1.1,3220
2024-01-01,FAC001,ISO 9001,Medium,143253,123149,0.8597,1.1,3590
2024-02-01,FAC001,ISO 9001,Medium,143253,119166,0.8319,1.1,3400
2024-03-01,FAC001,ISO 9001,Medium,143253,132535,0.9252,1.1,4030
2024-04-01,FAC001,ISO 9001,Medium,143253,134266,0.9373,1.1,3530
2024-05-01,FAC001,ISO 9001,Medium,143253,126510,0.8831,1.1,3610
2024-06-01,FAC001,ISO 9001,Medium,143253,131132,0.9154,1.1,3740
2024-07-01,FAC001,ISO 9001,Medium,143253,124902,0.8719,1.1,3300
2024-08-01,FAC001,ISO 9001,Medium,143253,129414,0.9034,1.1,3780
2024-09-01,FAC001,ISO 9001,Medium,143253,113922,0.7953,1.1,3170
2024-10-01,FAC001,ISO 9001,Medium,143253,116970,0.8165,1.1,3120
2024-11-01,FAC001,ISO 9001,Medium,143253,125862,0.8786,1.1,3560
2024-12-01,FAC001,ISO 9001,Medium,143253,131905,0.9208,1.1,3580
2025-01-01,FAC001,ISO 9001,Medium,155191,139616,0.8996,1.1,3900
2025-02-01,FAC001,ISO 9001,Medium,155191,134543,0.867,1.1,3620
2025-03-01,FAC001,ISO 9001,Medium,155191,150475,0.9696,1.1,3980
2025-04-01,FAC001,ISO 9001,Medium,155191,131675,0.8485,1.1,3810
2025-05-01,FAC001,ISO 9001,Medium,155191,142250,0.9166,1.1,4260
2025-06-01,FAC001,ISO 9001,Medium,155191,123097,0.7932,1.1,3600
2025-07-01,FAC001,ISO 9001,Medium,155191,135532,0.8733,1.1,3890
2025-08-01,FAC001,ISO 9001,Medium,155191,122590,0.7899,1.1,3510
2025-09-01,FAC001,ISO 9001,Medium,155191,124476,0.8021,1.1,3800
2025-10-01,FAC001,ISO 9001,Medium,155191,123420,0.7953,1.1,3490
2025-11-01,FAC001,ISO 9001,Medium,155191,77595,0.5,1.1,2410
2025-12-01,FAC001,ISO 9001,Medium,155191,131538,0.8476,1.1,3680
2016-01-01,FAC002,IATF 16949,Low,55119,40104,0.7276,1.05,1160
2016-02-01,FAC002,IATF 16949,Low,55119,38034,0.69,1.05,1140
2016-03-01,FAC002,IATF 16949,Low,55119,42106,0.7639,1.05,1160
2016-04-01,FAC002,IATF 16949,Low,55119,40215,0.7296,1.05,1260
2016-05-01,FAC002,IATF 16949,Low,55119,46153,0.8373,1.05,1360
2016-06-01,FAC002,IATF 16949,Low,55119,40484,0.7345,1.05,1260
2016-07-01,FAC002,IATF 16949,Low,55119,41245,0.7483,1.05,1290
2016-08-01,FAC002,IATF 16949,Low,55119,42584,0.7726,1.05,1220
2016-09-01,FAC002,IATF 16949,Low,55119,42838,0.7772,1.05,1280
2016-10-01,FAC002,IATF 16949,Low,55119,36134,0.6556,1.05,1100
2016-11-01,FAC002,IATF 16949,Low,55119,40690,0.7382,1.05,1280
2016-12-01,FAC002,IATF 16949,Low,55119,42276,0.767,1.05,1300
2017-01-01,FAC002,IATF 16949,Low,55119,40181,0.729,1.05,1160
2017-02-01,FAC002,IATF 16949,Low,55119,37770,0.6852,1.05,1050
2017-03-01,FAC002,IATF 16949,Low,55119,43742,0.7936,1.05,1280
2017-04-01,FAC002,IATF 16949,Low,55119,40282,0.7308,1.05,1100
2017-05-01,FAC002,IATF 16949,Low,55119,35579,0.6455,1.05,1160
2017-06-01,FAC002,IATF 16949,Low,55119,40143,0.7283,1.05,1260
2017-07-01,FAC002,IATF 16949,Low,55119,27559,0.5,1.05,800
2017-08-01,FAC002,IATF 16949,Low,55119,38369,0.6961,1.05,1140
2017-09-01,FAC002,IATF 16949,Low,55119,38182,0.6927,1.05,1060
2017-10-01,FAC002,IATF 16949,Low,55119,41110,0.7458,1.05,1230
2017-11-01,FAC002,IATF 16949,Low,55119,43067,0.7813,1.05,1420
2017-12-01,FAC002,IATF 16949,Low,55119,38817,0.7042,1.05,1110
2018-01-01,FAC002,IATF 16949,Low,55119,44839,0.8135,1.05,1350
2018-02-01,FAC002,IATF 16949,Low,55119,44484,0.8071,1.05,1310
2018-03-01,FAC002,IATF 16949,Low,55119,43306,0.7857,1.05,1170
2018-04-01,FAC002,IATF 16949,Low,55119,39975,0.7252,1.05,1270
2018-05-01,FAC002,IATF 16949,Low,55119,43606,0.7911,1.05,1210
2018-06-01,FAC002,IATF 16949,Low,55119,39921,0.7243,1.05,1290
2018-07-01,FAC002,IATF 16949,Low,55119,43104,0.782,1.05,1180
2018-08-01,FAC002,IATF 16949,Low,55119,40611,0.7368,1.05,1150
2018-09-01,FAC002,IATF 16949,Low,55119,40072,0.727,1.05,1220
2018-10-01,FAC002,IATF 16949,Low,55119,36689,0.6656,1.05,1060
2018-11-01,FAC002,IATF 16949,Low,55119,41918,0.7605,1.05,1200
2018-12-01,FAC002,IATF 16949,Low,55119,39152,0.7103,1.05,1170
2019-01-01,FAC002,IATF 16949,Low,60630,30315,0.5,1.05,830
2019-02-01,FAC002,IATF 16949,Low,60630,42449,0.7001,1.05,1280
2019-03-01,FAC002,IATF 16949,Low,60630,48473,0.7995,1.05,1410
2019-04-01,FAC002,IATF 16949,Low,60630,30315,0.5,1.05,890
2019-05-01,FAC002,IATF 16949,Low,60630,49349,0.8139,1.05,1520
2019-06-01,FAC002,IATF 16949,Low,60630,30315,0.5,1.05,860
2019-07-01,FAC002,IATF 16949,Low,60630,45931,0.7576,1.05,1310
2019-08-01,FAC002,IATF 16949,Low,60630,41863,0.6905,1.05,1260
2019-09-01,FAC002,IATF 16949,Low,60630,46163,0.7614,1.05,1410
2019-10-01,FAC002,IATF 16949,Low,60630,48302,0.7967,1.05,1310
2019-11-01,FAC002,IATF 16949,Low,60630,45322,0.7475,1.05,1390
2019-12-01,FAC002,IATF 16949,Low,60630,47512,0.7836,1.05,1420
2020-01-01,FAC002,IATF 16949,Low,60630,43079,0.7105,1.05,1400
2020-02-01,FAC002,IATF 16949,Low,60630,40760,0.6723,1.05,1120
2020-03-01,FAC002,IATF 16949,Low,60630,44342,0.7314,1.05,1390
2020-04-01,FAC002,IATF 16949,Low,60630,46687,0.77,1.05,1370
2020-05-01,FAC002,IATF 16949,Low,60630,40321,0.665,1.05,1160
2020-06-01,FAC002,IATF 16949,Low,60630,45934,0.7576,1.05,1410
2020-07-01,FAC002,IATF 16949,Low,60630,30315,0.5,1.05,870
2020-08-01,FAC002,IATF 16949,Low,60630,40975,0.6758,1.05,1210
2020-09-01,FAC002,IATF 16949,Low,60630,43333,0.7147,1.05,1290
2020-10-01,FAC002,IATF 16949,Low,60630,40690,0.6711,1.05,1190
2020-11-01,FAC002,IATF 16949,Low,60630,48354,0.7975,1.05,1430
2020-12-01,FAC002,IATF 16949,Low,60630,40005,0.6598,1.05,1170
2021-01-01,FAC002,IATF 16949,Low,60630,46896,0.7735,1.05,1440
2021-02-01,FAC002,IATF 16949,Low,60630,45931,0.7576,1.05,1400
2021-03-01,FAC002,IATF 16949,Low,60630,47596,0.785,1.05,1580
2021-04-01,FAC002,IATF 16949,Low,60630,44406,0.7324,1.05,1390
2021-05-01,FAC002,IATF 16949,Low,60630,44644,0.7363,1.05,1350
2021-06-01,FAC002,IATF 16949,Low,60630,42170,0.6955,1.05,1230
2021-07-01,FAC002,IATF 16949,Low,60630,42746,0.705,1.05,1270
2021-08-01,FAC002,IATF 16949,Low,60630,44243,0.7297,1.05,1270
2021-09-01,FAC002,IATF 16949,Low,60630,50360,0.8306,1.05,1530
2021-10-01,FAC002,IATF 16949,Low,60630,45907,0.7572,1.05,1380
2021-11-01,FAC002,IATF 16949,Low,60630,46009,0.7588,1.05,1250
2021-12-01,FAC002,IATF 16949,Low,60630,43011,0.7094,1.05,1290
2022-01-01,FAC002,IATF 16949,Low,66142,56702,0.8573,1.05,1840
2022-02-01,FAC002,IATF 16949,Low,66142,48694,0.7362,1.05,1360
2022-03-01,FAC002,IATF 16949,Low,66142,50116,0.7577,1.05,1660
2022-04-01,FAC002,IATF 16949,Low,66142,33071,0.5,1.05,1020
2022-05-01,FAC002,IATF 16949,Low,66142,57952,0.8762,1.05,1700
2022-06-01,FAC002,IATF 16949,Low,66142,46574,0.7042,1.05,1310
2022-07-01,FAC002,IATF 16949,Low,66142,49349,0.7461,1.05,1430
2022-08-01,FAC002,IATF 16949,Low,66142,50419,0.7623,1.05,1600
2022-09-01,FAC002,IATF 16949,Low,66142,46990,0.7104,1.05,1340
2022-10-01,FAC002,IATF 16949,Low,66142,46926,0.7095,1.05,1460
2022-11-01,FAC002,IATF 16949,Low,66142,46494,0.7029,1.05,1380
2022-12-01,FAC002,IATF 16949,Low,66142,45959,0.6949,1.05,1380
2023-01-01,FAC002,IATF 16949,Low,66142,51077,0.7722,1.05,1490
2023-02-01,FAC002,IATF 16949,Low,66142,55720,0.8424,1.05,1510
2023-03-01,FAC002,IATF 16949,Low,66142,53869,0.8144,1.05,1710
2023-04-01,FAC002,IATF 16949,Low,66142,45509,0.688,1.05,1400
2023-05-01,FAC002,IATF 16949,Low,66142,52573,0.7949,1.05,1510
2023-06-01,FAC002,IATF 16949,Low,66142,50080,0.7572,1.05,1410
2023-07-01,FAC002,IATF 16949,Low,66142,48718,0.7366,1.05,1450
2023-08-01,FAC002,IATF 16949,Low,66142,53482,0.8086,1.05,1550
2023-09-01,FAC002,IATF 16949,Low,66142,48528,0.7337,1.05,1440
2023-10-01,FAC002,IATF 16949,Low,66142,48343,0.7309,1.05,1320
2023-11-01,FAC002,IATF 16949,Low,66142,46179,0.6982,1.05,1270
2023-12-01,FAC002,IATF 16949,Low,66142,47150,0.7129,1.05,1460
2024-01-01,FAC002,IATF 16949,Low,66142,49309,0.7455,1.05,1390
2024-02-01,FAC002,IATF 16949,Low,66142,54244,0.8201,1.05,1620
2024-03-01,FAC002,IATF 16949,Low,66142,52833,0.7988,1.05,1560
2024-04-01,FAC002,IATF 16949,Low,66142,46629,0.705,1.05,1390
2024-05-01,FAC002,IATF 16949,Low,66142,45272,0.6845,1.05,1270
2024-06-01,FAC002,IATF 16949,Low,66142,33071,0.5,1.05,1020
2024-07-01,FAC002,IATF 16949,Low,66142,52027,0.7866,1.05,1510
2024-08-01,FAC002,IATF 16949,Low,66142,49150,0.7431,1.05,1600
2024-09-01,FAC002,IATF 16949,Low,66142,45280,0.6846,1.05,1370
2024-10-01,FAC002,IATF 16949,Low,66142,50205,0.759,1.05,1450
2024-11-01,FAC002,IATF 16949,Low,66142,51670,0.7812,1.05,1490
2024-12-01,FAC002,IATF 16949,Low,66142,52449,0.793,1.05,1550
2025-01-01,FAC002,IATF 16949,Low,71654,51806,0.723,1.05,1490
2025-02-01,FAC002,IATF 16949,Low,71654,54753,0.7641,1.05,1510
2025-03-01,FAC002,IATF 16949,Low,71654,51372,0.7169,1.05,1540
2025-04-01,FAC002,IATF 16949,Low,71654,56392,0.787,1.05,1780
2025-05-01,FAC002,IATF 16949,Low,71654,48930,0.6829,1.05,1520
2025-06-01,FAC002,IATF 16949,Low,71654,54828,0.7652,1.05,1670
2025-07-01,FAC002,IATF 16949,Low,71654,57312,0.7998,1.05,1600
2025-08-01,FAC002,IATF 16949,Low,71654,50312,0.7022,1.05,1470
2025-09-01,FAC002,IATF 16949,Low,71654,54769,0.7644,1.05,1550
2025-10-01,FAC002,IATF 16949,Low,71654,52807,0.737,1.05,1360
2025-11-01,FAC002,IATF 16949,Low,71654,58772,0.8202,1.05,1700
2025-12-01,FAC002,IATF 16949,Low,71654,56263,0.7852,1.05,1650
2016-01-01,FAC003,OHSAS 18001,High,69201,62255,0.8996,1.2,1670
2016-02-01,FAC003,OHSAS 18001,High,69201,69201,1.0,1.2,1850
2016-03-01,FAC003,OHSAS 18001,High,69201,64245,0.9284,1.2,1610
2016-04-01,FAC003,OHSAS 18001,High,69201,63594,0.919,1.2,1550
2016-05-01,FAC003,OHSAS 18001,High,69201,66137,0.9557,1.2,1880
2016-06-01,FAC003,OHSAS 18001,High,69201,59564,0.8607,1.2,1570
2016-07-01,FAC003,OHSAS 18001,High,69201,66203,0.9567,1.2,1730
2016-08-01,FAC003,OHSAS 18001,High,69201,69201,1.0,1.2,1870
2016-09-01,FAC003,OHSAS 18001,High,69201,67260,0.972,1.2,1810
2016-10-01,FAC003,OHSAS 18001,High,69201,66223,0.957,1.2,1730
2016-11-01,FAC003,OHSAS 18001,High,69201,64289,0.929,1.2,1930
2016-12-01,FAC003,OHSAS 18001,High,69201,64748,0.9357,1.2,1840
2017-01-01,FAC003,OHSAS 18001,High,69201,34600,0.5,1.2,950
2017-02-01,FAC003,OHSAS 18001,High,69201,69201,1.0,1.2,1850
2017-03-01,FAC003,OHSAS 18001,High,69201,61180,0.8841,1.2,1510
2017-04-01,FAC003,OHSAS 18001,High,69201,65862,0.9517,1.2,1650
2017-05-01,FAC003,OHSAS 18001,High,69201,64905,0.9379,1.2,1700
2017-06-01,FAC003,OHSAS 18001,High,69201,69201,1.0,1.2,1780
2017-07-01,FAC003,OHSAS 18001,High,69201,66523,0.9613,1.2,1740
2017-08-01,FAC003,OHSAS 18001,High,69201,65646,0.9486,1.2,1580
2017-09-01,FAC003,OHSAS 18001,High,69201,64347,0.9299,1.2,1590
2017-10-01,FAC003,OHSAS 18001,High,69201,63554,0.9184,1.2,1680
2017-11-01,FAC003,OHSAS 18001,High,69201,61127,0.8833,1.2,1510
2017-12-01,FAC003,OHSAS 18001,High,69201,68718,0.993,1.2,1600
2018-01-01,FAC003,OHSAS 18001,High,69201,69201,1.0,1.2,1770
2018-02-01,FAC003,OHSAS 18001,High,69201,62678,0.9057,1.2,1710
2018-03-01,FAC003,OHSAS 18001,High,69201,64619,0.9338,1.2,1570
2018-04-01,FAC003,OHSAS 18001,High,69201,68441,0.989,1.2,1900
2018-05-01,FAC003,OHSAS 18001,High,69201,34600,0.5,1.2,930
2018-06-01,FAC003,OHSAS 18001,High,69201,61731,0.8921,1.2,1800
2018-07-01,FAC003,OHSAS 18001,High,69201,63877,0.9231,1.2,1610
2018-08-01,FAC003,OHSAS 18001,High,69201,69201,1.0,1.2,1670
2018-09-01,FAC003,OHSAS 18001,High,69201,69201,1.0,1.2,1860
2018-10-01,FAC003,OHSAS 18001,High,69201,65378,0.9448,1.2,1670
2018-11-01,FAC003,OHSAS 18001,High,69201,62604,0.9047,1.2,1680
2018-12-01,FAC003,OHSAS 18001,High,69201,69201,1.0,1.2,1830
2019-01-01,FAC003,OHSAS 18001,High,76121,74567,0.9796,1.2,1770
2019-02-01,FAC003,OHSAS 18001,High,76121,38060,0.5,1.2,930
2019-03-01,FAC003,OHSAS 18001,High,76121,64776,0.851,1.2,1610
2019-04-01,FAC003,OHSAS 18001,High,76121,68327,0.8976,1.2,1890
2019-05-01,FAC003,OHSAS 18001,High,76121,76121,1.0,1.2,1900
2019-06-01,FAC003,OHSAS 18001,High,76121,71810,0.9434,1.2,2020
2019-07-01,FAC003,OHSAS 18001,High,76121,72734,0.9555,1.2,1860
2019-08-01,FAC003,OHSAS 18001,High,76121,68876,0.9048,1.2,1790
2019-09-01,FAC003,OHSAS 18001,High,76121,75953,0.9978,1.2,1920
2019-10-01,FAC003,OHSAS 18001,High,76121,73015,0.9592,1.2,1760
2019-11-01,FAC003,OHSAS 18001,High,76121,72847,0.957,1.2,1860
2019-12-01,FAC003,OHSAS 18001,High,76121,69579,0.9141,1.2,1860
2020-01-01,FAC003,OHSAS 18001,High,76121,75049,0.9859,1.2,2000
2020-02-01,FAC003,OHSAS 18001,High,76121,68644,0.9018,1.2,1730
2020-03-01,FAC003,OHSAS 18001,High,76121,76121,1.0,1.2,2009
2020-04-01,FAC003,OHSAS 18001,High,76121,65194,0.8565,1.2,1470
2020-05-01,FAC003,OHSAS 18001,High,76121,70226,0.9226,1.2,1800
2020-06-01,FAC003,OHSAS 18001,High,76121,72796,0.9563,1.2,1930
2020-07-01,FAC003,OHSAS 18001,High,76121,73290,0.9628,1.2,1980
2020-08-01,FAC003,OHSAS 18001,High,76121,76121,1.0,1.2,1970
2020-09-01,FAC003,OHSAS 18001,High,76121,70069,0.9205,1.2,1930
2020-10-01,FAC003,OHSAS 18001,High,76121,76121,1.0,1.2,2040
2020-11-01,FAC003,OHSAS 18001,High,76121,38060,0.5,1.2,940
2020-12-01,FAC003,OHSAS 18001,High,76121,38060,0.5,1.2,1050
2021-01-01,FAC003,OHSAS 18001,High,76121,73317,0.9632,1.2,2050
2021-02-01,FAC003,OHSAS 18001,High,76121,76121,1.0,1.2,2029
2021-03-01,FAC003,OHSAS 18001,High,76121,76121,1.0,1.2,2050
2021-04-01,FAC003,OHSAS 18001,High,76121,76121,1.0,1.2,2100
2021-05-01,FAC003,OHSAS 18001,High,76121,69349,0.911,1.2,1760
2021-06-01,FAC003,OHSAS 18001,High,76121,69720,0.9159,1.2,1920
2021-07-01,FAC003,OHSAS 18001,High,76121,75749,0.9951,1.2,1980
2021-08-01,FAC003,OHSAS 18001,High,76121,68189,0.8958,1.2,1760
2021-09-01,FAC003,OHSAS 18001,High,76121,74095,0.9734,1.2,2040
2021-10-01,FAC003,OHSAS 18001,High,76121,71449,0.9386,1.2,1960
2021-11-01,FAC003,OHSAS 18001,High,76121,71840,0.9438,1.2,1910
2021-12-01,FAC003,OHSAS 18001,High,76121,76121,1.0,1.2,2100
2022-01-01,FAC003,OHSAS 18001,High,83041,81681,0.9836,1.2,2140
2022-02-01,FAC003,OHSAS 18001,High,83041,81419,0.9805,1.2,2330
2022-03-01,FAC003,OHSAS 18001,High,83041,80484,0.9692,1.2,2180
2022-04-01,FAC003,OHSAS 18001,High,83041,70973,0.8547,1.2,1820
2022-05-01,FAC003,OHSAS 18001,High,83041,76857,0.9255,1.2,1910
2022-06-01,FAC003,OHSAS 18001,High,83041,41520,0.5,1.2,1130
2022-07-01,FAC003,OHSAS 18001,High,83041,83041,1.0,1.2,2280
2022-08-01,FAC003,OHSAS 18001,High,83041,77322,0.9311,1.2,1910
2022-09-01,FAC003,OHSAS 18001,High,83041,82695,0.9958,1.2,2240
2022-10-01,FAC003,OHSAS 18001,High,83041,76795,0.9248,1.2,1830
2022-11-01,FAC003,OHSAS 18001,High,83041,77431,0.9324,1.2,2090
2022-12-01,FAC003,OHSAS 18001,High,83041,76463,0.9208,1.2,2100
2023-01-01,FAC003,OHSAS 18001,High,83041,78952,0.9508,1.2,2190
2023-02-01,FAC003,OHSAS 18001,High,83041,74001,0.8911,1.2,1870
2023-03-01,FAC003,OHSAS 18001,High,83041,78734,0.9481,1.2,2020
2023-04-01,FAC003,OHSAS 18001,High,83041,41520,0.5,1.2,1100
2023-05-01,FAC003,OHSAS 18001,High,83041,81619,0.9829,1.2,2150
2023-06-01,FAC003,OHSAS 18001,High,83041,83041,1.0,1.2,2080
2023-07-01,FAC003,OHSAS 18001,High,83041,74454,0.8966,1.2,1850
2023-08-01,FAC003,OHSAS 18001,High,83041,80402,0.9682,1.2,2000
2023-09-01,FAC003,OHSAS 18001,High,83041,79221,0.954,1.2,2070
2023-10-01,FAC003,OHSAS 18001,High,83041,80483,0.9692,1.2,1990
2023-11-01,FAC003,OHSAS 18001,High,83041,83041,1.0,1.2,2140
2023-12-01,FAC003,OHSAS 18001,High,83041,83041,1.0,1.2,2230
2024-01-01,FAC003,OHSAS 18001,High,83041,80776,0.9727,1.2,1990
2024-02-01,FAC003,OHSAS 18001,High,83041,76014,0.9154,1.2,1950
2024-03-01,FAC003,OHSAS 18001,High,83041,76454,0.9207,1.2,2070
2024-04-01,FAC003,OHSAS 18001,High,83041,83041,1.0,1.2,2120
2024-05-01,FAC003,OHSAS 18001,High,83041,41520,0.5,1.2,1040
2024-06-01,FAC003,OHSAS 18001,High,83041,79727,0.9601,1.2,1880
2024-07-01,FAC003,OHSAS 18001,High,83041,81013,0.9756,1.2,2410
